dataset,energy
bam_ov,451.6145342881971
bam_ov,126254380.28014384
bam_ov,223.3410778047199
bam_ov,3550881.315867025
bam_ov,214.48866418655896
bam_ov,1775.0534753944396
bam_ov,247.54773917685554
bam_ov,131535.1284275451
bam_ov,4810.056865697902
bam_ov,5059063660860.344
bam_ov,4027.2729028878957
bam_ov,2116.8763434079015
bam_ov,18051634.731470693
bam_ov,99996233.50654487
bam_ov,668241.0452859948
bam_ov,2909.181872381392
bam_ov,346.098078553606
bam_ov,29674411.90507987
bam_ov,2706058.560234709
bam_ov,1299326475.8231974
bam_ov,2599.4011391959734
bam_ov,513698088.81670356
bam_ov,13500.159513156003
bam_ov,1441.8138265814746
bam_ov,324.92740549892
bam_ov,30957.38831490632
bam_ov,911.8362039497918
bam_ov,10541894.21384131
bam_ov,45342266.73255227
bam_ov,6044316.080345782
bam_ov,98550272.37735192
bam_ov,5303961353238.894
bam_ov,322674006.8769072
bam_ov,76150.26694833819
bam_ov,4373675055.360347
bam_ov,302.8116767992793
bam_ov,314.3994863511394
bam_ov,20789744.469542246
bam_ov,177.4599791542597
bam_ov,32522913.47979434
bam_ov,10840664.532962043
bam_ov,248.21401576672616
bam_ov,3314.5834136811295
bam_ov,262.37660605462855
bam_ov,48929.5345833439
bam_ov,437.0655100547064
bam_ov,936813075.3525414
