dataset,mean_clashes,std_clashes,mean_energy,std_energy,mean_rmsd,std_rmsd
ginger,0.0,0.0,73.1721135172479,5.546051553041858,1.9438378605838633,0.5719460565422804
bam,0.0,0.0,188.45180308346,31.19738928333789,1.3649589854310327,0.19242833896340603
bam_ff,0.0,0.0,672.4361546888618,3024.460963653167,1.936900717715778,0.3314025878140554
frog2,0.0,0.0,150.2330477619745,47.77868607943204,1.6645390709894372,0.3430003571650552
bam_ov,1.2,1.649242250247064,207425593144.48495,1015626747598.5156,2.4815683227975907,0.6240111214273713
