#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
29.2%,29250,659.105224609375,302.8221183964949
29.3%,29300,655.8685302734375,278.36173744577377
29.4%,29350,646.521728515625,292.30667899805286
29.4%,29400,610.8580322265625,323.1049342727191
29.4%,29450,666.5520629882812,281.0570418034844
29.5%,29500,613.3823852539062,339.0446994975679
29.6%,29550,601.198974609375,341.2500190280809
29.6%,29600,633.5331420898438,309.6133747062429
29.6%,29650,623.5731811523438,286.7901587869919
29.7%,29700,567.101318359375,319.77122762488085
29.8%,29750,625.42626953125,282.2696997265157
29.8%,29800,645.70556640625,288.3975268466882
29.9%,29850,646.963623046875,281.10161121857107
29.9%,29900,631.9210205078125,258.12561896343567
29.9%,29950,601.041259765625,292.64927367167303
30.0%,30000,566.6983032226562,313.8664332652967
30.1%,30050,606.2821044921875,288.34208656011833
30.1%,30100,593.332763671875,297.8572999810988
30.1%,30150,609.4708251953125,307.2111283776523
30.2%,30200,614.139892578125,285.03917757513614
30.2%,30250,631.06982421875,282.90801049121103
30.3%,30300,643.807373046875,255.5926457265434
30.4%,30350,569.4864501953125,306.88271211113283
30.4%,30400,589.750732421875,296.7971029504795
30.4%,30450,636.778564453125,277.82050626142774
30.5%,30500,650.9889526367188,278.95244211565097
30.6%,30550,617.3676147460938,300.59443722528306
30.6%,30600,641.17138671875,303.5108803966055
30.6%,30650,619.8751831054688,324.39865630896594
30.7%,30700,663.1580810546875,308.37982868576916
30.8%,30750,615.3685913085938,329.31876839416816
30.8%,30800,639.652099609375,306.7576416336238
30.9%,30850,689.2982177734375,268.9335581680706
30.9%,30900,657.540771484375,287.24088398298017
30.9%,30950,639.8135375976562,291.1872573032985
31.0%,31000,679.8056640625,279.0620064342229
31.1%,31050,617.6170654296875,305.0466740361713
31.1%,31100,635.278564453125,304.7877546325463
31.1%,31150,667.06591796875,292.3872587798277
31.2%,31200,673.6795654296875,281.8106194719703
31.2%,31250,642.010986328125,293.5680241018551
31.3%,31300,628.6986083984375,313.1220378333046
31.4%,31350,705.7236328125,268.7920939456889
31.4%,31400,644.1934814453125,334.5361899469242
31.4%,31450,670.864990234375,315.30377343091885
31.5%,31500,652.1505126953125,306.4670216308469
31.6%,31550,660.459228515625,302.11951648796645
31.6%,31600,639.437255859375,293.88435323468997
31.6%,31650,624.8816528320312,309.1975559331346
31.7%,31700,667.9293823242188,298.07662590801147
31.8%,31750,647.1552734375,303.63133328461345
31.8%,31800,667.4075927734375,310.9021385420725
31.9%,31850,636.4838256835938,318.9006244592292
31.9%,31900,676.2879638671875,293.43994808205025
31.9%,31950,638.9505615234375,299.6126911348773
32.0%,32000,586.9002685546875,311.7624126213545
32.0%,32050,630.6340942382812,291.93374735040874
32.1%,32100,623.0103759765625,300.8166284590181
32.1%,32150,657.6992797851562,293.99387998111627
32.2%,32200,630.9569091796875,300.7405042008621
32.2%,32250,634.729736328125,287.28785238743603
32.3%,32300,646.4094848632812,261.4184799710655
32.4%,32350,631.1087036132812,284.5822689582076
32.4%,32400,621.2960205078125,290.6941057297055
32.5%,32450,622.7362060546875,282.95145752912214
32.5%,32500,653.4750366210938,269.9667885818817
32.5%,32550,631.4939575195312,289.408021168484
32.6%,32600,649.660400390625,275.91250072696806
32.6%,32650,639.9548950195312,286.1377993028389
32.7%,32700,640.427001953125,298.902146222591
32.8%,32750,652.6676635742188,310.458952126574
32.8%,32800,618.4609375,313.73339020143226
32.9%,32850,627.1735229492188,297.0075170847388
32.9%,32900,656.69287109375,272.528172213554
33.0%,32950,674.4635009765625,283.4162392467623
33.0%,33000,609.392822265625,296.00279210152723
33.0%,33050,548.9329223632812,332.3074668554145
33.1%,33100,655.693359375,287.03460193998575
33.1%,33150,633.7484741210938,309.40218503307784
33.2%,33200,643.788818359375,305.0864708353181
33.2%,33250,672.9913330078125,291.4752427540477
33.3%,33300,636.3442993164062,308.6412076087755
33.4%,33350,653.8427734375,314.50075107674616
33.4%,33400,651.5563354492188,326.4363694272558
33.5%,33450,596.9143676757812,328.93795212987516
33.5%,33500,657.6595458984375,301.1758851861158
33.5%,33550,658.2113647460938,304.1425533695589
33.6%,33600,646.5983276367188,331.1164728527627
33.6%,33650,657.0751953125,336.1909934312737
33.7%,33700,666.0902099609375,319.19953256584216
33.8%,33750,669.4820556640625,316.62713528693286
33.8%,33800,640.000244140625,319.37797294814345
33.9%,33850,661.869384765625,345.5943739593695
33.9%,33900,671.114990234375,302.45471603361426
34.0%,33950,628.9356079101562,338.03795236056675
34.0%,34000,638.8347778320312,323.5898995633984
34.0%,34050,643.8590698242188,315.94967327765403
34.1%,34100,623.749755859375,327.7716860183457
34.1%,34150,632.26806640625,323.8810238111466
34.2%,34200,615.042236328125,326.64607363518246
34.2%,34250,651.4857177734375,312.8451285140202
34.3%,34300,580.6722412109375,356.88467381795687
34.4%,34350,614.1583251953125,314.3841043233707
34.4%,34400,583.6339721679688,353.8710536282005
34.5%,34450,640.6085205078125,304.4649494678179
34.5%,34500,594.986083984375,364.8511234055841
34.5%,34550,629.1276245117188,348.0086908864868
34.6%,34600,610.5139770507812,360.57189350013834
34.6%,34650,692.3812866210938,300.03297122824415
34.7%,34700,623.1273193359375,323.64009035474317
34.8%,34750,622.06640625,317.41567194409873
34.8%,34800,617.2713623046875,333.9822670875223
34.9%,34850,627.0111083984375,350.1805731608933
34.9%,34900,645.6484375,304.4954984345663
35.0%,34950,632.9963989257812,295.2327461939491
35.0%,35000,588.7125244140625,327.74891264955045
35.0%,35050,597.564208984375,312.7631795091664
35.1%,35100,559.6356811523438,335.5538157162648
35.1%,35150,584.4841918945312,297.47604250678967
35.2%,35200,577.94482421875,271.6400139268845
35.2%,35250,587.8004150390625,264.82090901367735
35.3%,35300,592.8643798828125,254.34761986606003
35.4%,35350,566.1724243164062,269.54345466489184
35.4%,35400,544.3260498046875,274.88247415599966
35.5%,35450,562.3418579101562,279.55997767930205
35.5%,35500,580.9468994140625,266.19924550221464
35.5%,35550,589.3477783203125,268.5012926695772
35.6%,35600,568.31201171875,277.5138550524471
35.6%,35650,603.3964233398438,275.7932218575004
35.7%,35700,577.8361206054688,294.59492058211845
35.8%,35750,601.5353393554688,262.89171034745124
35.8%,35800,554.0238647460938,291.3234424525248
35.9%,35850,571.7080688476562,299.3103163257512
35.9%,35900,597.8113403320312,274.0462529626938
36.0%,35950,594.72021484375,283.5915264178075
36.0%,36000,571.7194213867188,290.786508407655
36.0%,36050,583.4100341796875,279.9293326943034
36.1%,36100,590.620849609375,273.7103478031892
36.1%,36150,584.2122802734375,286.4100498380768
36.2%,36200,574.1019897460938,313.694462378501
36.2%,36250,586.9075927734375,288.4027045593262
36.3%,36300,582.27392578125,256.4800861526715
36.4%,36350,589.895751953125,261.57896461481175
36.4%,36400,521.0050048828125,272.8805195446079
36.5%,36450,541.236328125,244.97758347712963
36.5%,36500,555.7152099609375,259.2735573820356
36.5%,36550,539.5515747070312,269.9271481759913
36.6%,36600,561.0068359375,258.29904323893044
36.6%,36650,595.260498046875,229.72400389611843
36.7%,36700,558.51318359375,272.5138151307384
36.8%,36750,569.83203125,274.533497394185
36.8%,36800,590.298828125,268.188330172214
36.9%,36850,563.808837890625,251.70797844481956
36.9%,36900,549.8949584960938,272.8401686283203
37.0%,36950,552.536865234375,257.0453224643906
37.0%,37000,547.5731811523438,254.51272071248766
37.0%,37050,564.9588012695312,244.3389462584136
37.1%,37100,561.345947265625,254.38294142274543
37.1%,37150,560.0684814453125,244.46936316717688
37.2%,37200,571.465087890625,229.43760584852203
37.2%,37250,569.9256591796875,238.41144143597526
37.3%,37300,510.5208435058594,291.6633520112049
37.4%,37350,545.7482299804688,262.30781374477067
37.4%,37400,573.0576782226562,253.36398255031133
37.5%,37450,566.155517578125,279.13084652598315
37.5%,37500,569.33544921875,306.7880279144215
37.5%,37550,626.38037109375,264.4586265037171
37.6%,37600,630.3570556640625,237.39019544818265
37.6%,37650,573.929443359375,272.9283805528863
37.7%,37700,548.665771484375,296.68922857837487
37.8%,37750,596.9793090820312,269.968795728682
37.8%,37800,590.1063232421875,290.03046379696866
37.9%,37850,578.9060668945312,286.6790582909194
37.9%,37900,559.2562866210938,284.72122820152515
38.0%,37950,600.6563720703125,256.052935151841
38.0%,38000,562.0902709960938,302.08798076300667
38.0%,38050,544.5723876953125,299.6516960133108
38.1%,38100,584.293701171875,255.95175633718543
38.1%,38150,576.2091064453125,270.78593824886246
38.2%,38200,594.263671875,268.25629405796116
38.2%,38250,590.3612060546875,292.71186561801795
38.3%,38300,566.2246704101562,304.7760758345838
38.4%,38350,589.3878173828125,284.35845736101635
38.4%,38400,603.0582275390625,297.97376748136224
38.5%,38450,559.3388671875,335.50964741877044
38.5%,38500,566.565185546875,322.3405131604429
38.5%,38550,571.9160766601562,327.9404516744788
38.6%,38600,624.3463134765625,291.9469511446381
38.6%,38650,608.1767578125,329.08098034882687
38.7%,38700,630.8213500976562,302.50020659700635
38.8%,38750,603.6016845703125,314.0067863197396
38.8%,38800,582.9591064453125,326.53226237867347
38.9%,38850,576.678955078125,304.12507807868275
38.9%,38900,614.0792236328125,286.52912440333506
39.0%,38950,629.73681640625,294.4739057974446
39.0%,39000,651.8215942382812,292.3553384817677
39.0%,39050,668.9794311523438,269.8138394469308
39.1%,39100,620.85791015625,330.41108646633063
39.1%,39150,618.1568603515625,339.86792057911856
39.2%,39200,635.3359375,296.7649682767655
39.2%,39250,657.1033935546875,302.3215210596548
39.3%,39300,628.228759765625,332.71778102781616
39.4%,39350,603.9762573242188,342.8301433283894
39.4%,39400,580.9058227539062,311.9209604300586
39.5%,39450,596.3826293945312,296.3232476470005
39.5%,39500,598.2982177734375,287.79103333201596
39.5%,39550,588.9735717773438,285.37751661986033
39.6%,39600,605.3304443359375,282.391118125724
39.6%,39650,592.71435546875,312.7143495293057
39.7%,39700,600.1575317382812,313.66339098177474
39.8%,39750,583.4005126953125,330.18499057509223
39.8%,39800,616.0574951171875,296.4252002883728
39.9%,39850,584.6793212890625,312.3536987100516
39.9%,39900,629.017578125,302.0434697343623
40.0%,39950,597.7550048828125,335.13447674540737
40.0%,40000,615.5503540039062,307.59913183497446
40.0%,40050,572.6567993164062,312.80373135962486
40.1%,40100,536.6114501953125,334.248220199241
40.1%,40150,616.7786865234375,300.7528133910482
40.2%,40200,603.2781982421875,324.20646918185986
40.2%,40250,601.79541015625,335.305454693643
40.3%,40300,645.699951171875,310.0575697797026
40.4%,40350,632.1917724609375,320.30574347226207
40.4%,40400,595.9519653320312,322.63695952076205
40.5%,40450,573.0143432617188,312.63223685305917
40.5%,40500,606.5152587890625,307.13628573824246
40.5%,40550,596.1578369140625,303.47314580366765
40.6%,40600,597.5001220703125,297.79326769316106
40.6%,40650,559.0712890625,318.70669545859295
40.7%,40700,585.94091796875,298.36382733625226
40.8%,40750,560.4567260742188,307.1509513377663
40.8%,40800,544.2525634765625,329.98084287626625
40.9%,40850,581.040771484375,311.6500072746391
40.9%,40900,552.1742553710938,308.53150972079897
41.0%,40950,593.250732421875,257.43525037138824
41.0%,41000,558.584716796875,276.7142114090786
41.0%,41050,541.7345581054688,288.3463855638003
41.1%,41100,557.054931640625,299.7172241676346
41.1%,41150,592.0626220703125,293.4077006122238
41.2%,41200,618.7566528320312,279.4456478075695
41.2%,41250,572.8064575195312,322.98974248121624
41.3%,41300,611.7989501953125,291.10424805345815
41.4%,41350,565.3497924804688,310.78637463811003
41.4%,41400,533.9641723632812,314.91241692495737
41.5%,41450,578.1046752929688,307.0165280842794
41.5%,41500,571.9375,286.1367805444299
41.5%,41550,573.7088623046875,286.0961134279197
41.6%,41600,578.034912109375,272.2087650024198
41.6%,41650,559.79541015625,291.18597252687067
41.7%,41700,572.53271484375,275.96493244690845
41.8%,41750,573.2515869140625,285.8473571056809
41.8%,41800,560.3153076171875,281.55054676442404
41.9%,41850,576.6962890625,292.3400178092971
41.9%,41900,614.009033203125,286.8194277018337
42.0%,41950,613.0018310546875,310.4724956636236
42.0%,42000,593.5164794921875,331.71125834491454
42.0%,42050,631.2548828125,292.466171161623
42.1%,42100,609.4590454101562,299.8678582391433
42.1%,42150,587.3369140625,308.1951368723566
42.2%,42200,641.2420654296875,284.95570721241694
42.2%,42250,627.6915283203125,302.32337299732944
42.3%,42300,651.0220947265625,289.66810011005145
42.4%,42350,603.3013916015625,332.9561559272438
42.4%,42400,630.8807373046875,313.33410320042634
42.5%,42450,594.7681274414062,342.6026210410969
42.5%,42500,623.640380859375,302.0394524270959
42.5%,42550,592.3743286132812,303.70505401623285
42.6%,42600,611.278076171875,304.47519960681
42.6%,42650,579.29736328125,313.7643093610274
42.7%,42700,581.097412109375,289.1756406658066
42.8%,42750,565.1950073242188,298.4602222817262
42.8%,42800,605.08935546875,277.82499265778637
42.9%,42850,611.382080078125,255.91924713547965
42.9%,42900,576.2525634765625,281.5422111113415
43.0%,42950,587.0122680664062,261.480141310728
43.0%,43000,621.103759765625,235.83153123576295
43.0%,43050,541.2540283203125,298.56029018113753
43.1%,43100,580.735595703125,272.6017729132626
43.1%,43150,552.6904296875,293.0681613260659
43.2%,43200,623.3386840820312,260.1252487584757
43.2%,43250,568.4219970703125,305.8867144402191
43.3%,43300,613.1170654296875,273.81620343254735
43.4%,43350,590.4895629882812,314.56535123134177
43.4%,43400,597.8180541992188,305.72435031675934
43.5%,43450,606.257568359375,286.6671153758145
43.5%,43500,603.6376342773438,304.5449277058856
43.5%,43550,607.56396484375,303.28020953923567
43.6%,43600,602.720947265625,271.84718909575895
43.6%,43650,603.9163818359375,285.8200947709102
43.7%,43700,556.0864868164062,313.5049464831365
43.8%,43750,561.0948486328125,308.32395797704015
43.8%,43800,565.168701171875,313.24453472151254
43.9%,43850,580.47412109375,281.41895690090456
43.9%,43900,539.5768432617188,298.6893211229744
44.0%,43950,555.2640380859375,260.5024720941612
44.0%,44000,584.662109375,262.68532055590134
44.0%,44050,552.8223876953125,290.45334837237857
44.1%,44100,569.8594360351562,258.22636762529515
44.1%,44150,608.9147338867188,235.89571938089782
44.2%,44200,567.87158203125,273.9002629076021
44.2%,44250,576.1187744140625,276.47286582120097
44.3%,44300,635.96044921875,261.3678516786138
44.4%,44350,596.6519775390625,282.97994077594063
44.4%,44400,621.3717041015625,290.73782903607906
44.5%,44450,600.850341796875,321.5367658036073
44.5%,44500,576.4896850585938,320.4555754339333
44.5%,44550,626.351318359375,284.9804795937815
44.6%,44600,592.240966796875,319.6005878419581
44.6%,44650,613.8499145507812,307.6620221555751
44.7%,44700,647.9639282226562,309.056514014683
44.8%,44750,640.959716796875,330.0351111068458
44.8%,44800,608.1441040039062,367.3555000938229
44.9%,44850,616.764404296875,365.37454142577326
44.9%,44900,662.1326904296875,315.50542316612143
45.0%,44950,606.4649658203125,337.70618468258857
45.0%,45000,636.8031005859375,332.23890004980836
45.0%,45050,692.2142333984375,305.6232331945775
45.1%,45100,654.2637939453125,321.5304747467905
45.1%,45150,675.4989013671875,314.51519194347304
45.2%,45200,641.4459838867188,324.6001442516498
45.2%,45250,613.300537109375,318.562703301281
45.3%,45300,629.6829833984375,309.220758961338
45.4%,45350,616.5201416015625,312.7563861089214
45.4%,45400,606.1981811523438,290.2908605289342
45.5%,45450,591.9361572265625,282.3212039994556
45.5%,45500,604.170166015625,296.08933641742397
45.5%,45550,589.2868041992188,294.57051675341967
45.6%,45600,578.4179077148438,274.04102148412335
45.6%,45650,578.763427734375,296.49066083390335
45.7%,45700,579.607177734375,314.1409100548445
45.8%,45750,618.47705078125,285.0014993344161
45.8%,45800,601.3333740234375,285.29764271197104
45.9%,45850,583.4066162109375,294.3457718965866
45.9%,45900,585.2484130859375,274.7738451299605
46.0%,45950,549.3340454101562,307.64472058786737
46.0%,46000,586.5958862304688,269.83853623595456
46.0%,46050,593.3286743164062,256.68970983471297
46.1%,46100,597.7767333984375,303.6943590601601
46.1%,46150,650.2183227539062,299.08582339271527
46.2%,46200,665.90478515625,308.6643760718317
46.2%,46250,638.5968627929688,324.65050276816794
46.3%,46300,681.0140991210938,284.940631953025
46.4%,46350,646.3782958984375,285.3734366110088
46.4%,46400,619.2637939453125,307.30438960135393
46.5%,46450,637.4698486328125,309.6460882331604
46.5%,46500,633.1015625,312.1308021118206
46.5%,46550,606.271240234375,318.9219232306518
46.6%,46600,628.32666015625,294.1912055885314
46.6%,46650,627.095703125,299.5632430361473
46.7%,46700,613.2630615234375,294.6836465374021
46.8%,46750,582.8015747070312,302.32149383531754
46.8%,46800,588.0823364257812,311.7670210725139
46.9%,46850,598.2174682617188,273.8475546624835
46.9%,46900,590.6292724609375,271.272945203484
47.0%,46950,556.025634765625,301.3804759895002
47.0%,47000,607.0219116210938,281.36039582065547
47.0%,47050,571.8258056640625,290.47401994659674
47.1%,47100,577.44580078125,302.8592824544804
47.1%,47150,618.3362426757812,280.1539664722135
47.2%,47200,545.1122436523438,334.31246410919556
47.2%,47250,612.45556640625,291.7492584287165
47.3%,47300,609.73779296875,287.16395815571303
47.4%,47350,563.4603271484375,306.5558316220698
47.4%,47400,599.5765991210938,323.53010492570627
47.5%,47450,617.8643798828125,328.43890103831325
47.5%,47500,613.4178466796875,307.5708143931174
47.5%,47550,602.4440307617188,280.5421831770651
47.6%,47600,612.8945922851562,256.71267789132315
47.6%,47650,579.091796875,282.0530745275991
47.7%,47700,591.6646728515625,262.0966831101199
47.8%,47750,573.8067016601562,277.04880630200944
47.8%,47800,586.11083984375,242.31151353445412
47.9%,47850,525.2410888671875,287.1658159513674
47.9%,47900,581.41455078125,248.42040859034466
48.0%,47950,561.0579223632812,258.88990307126153
48.0%,48000,559.7333984375,264.6002050400454
48.0%,48050,582.5392456054688,273.53669001526214
48.1%,48100,590.1189575195312,272.74627529487225
48.1%,48150,595.957763671875,271.563906638601
48.2%,48200,578.04296875,280.05313595865584
48.2%,48250,569.1124877929688,279.9864421770511
48.3%,48300,568.995849609375,287.55704066812064
48.4%,48350,623.7930908203125,257.1540631400824
48.4%,48400,557.6966552734375,289.7871176263483
48.5%,48450,603.2943115234375,273.98677041277045
48.5%,48500,596.5176391601562,279.1521077385949
48.5%,48550,594.7114868164062,300.43864988049967
48.6%,48600,618.0115356445312,283.0800896022814
48.6%,48650,601.26171875,296.44706629305017
48.7%,48700,575.06884765625,285.462489631714
48.8%,48750,637.7515258789062,266.3547368950096
48.8%,48800,572.63623046875,293.8942130532811
48.9%,48850,610.92529296875,299.4678314391752
48.9%,48900,632.7767333984375,292.1562687859112
49.0%,48950,651.3411865234375,313.36995133188026
49.0%,49000,642.0225830078125,324.49510258677043
49.0%,49050,633.7728271484375,329.7820582038591
49.1%,49100,628.4515380859375,297.35668877739533
49.1%,49150,653.67138671875,265.59379907507713
49.2%,49200,573.4046020507812,344.173067053511
49.2%,49250,621.5401000976562,301.4037307194083
49.3%,49300,614.69677734375,321.62513108976174
49.4%,49350,588.5053100585938,310.5935248418856
49.4%,49400,614.266357421875,298.68782855295206
49.5%,49450,626.637451171875,275.3017082486183
49.5%,49500,581.6719360351562,291.47581971904293
49.5%,49550,586.0989990234375,299.68010404383006
49.6%,49600,602.2901000976562,316.9143237724122
49.6%,49650,537.5311279296875,330.02303198471185
49.7%,49700,579.6932373046875,310.14210387245964
49.8%,49750,553.0753784179688,295.97705929952394
49.8%,49800,601.6808471679688,264.39400334925034
49.9%,49850,584.5159912109375,299.32154988792007
49.9%,49900,595.1881103515625,312.04438102585436
50.0%,49950,635.3212890625,260.7364617847284
50.0%,50000,565.70751953125,315.6605758728794
50.0%,50050,600.4833374023438,269.98222860818845
50.1%,50100,572.1611938476562,294.88352204750487
50.1%,50150,565.5716552734375,316.6681902777408
50.2%,50200,586.6421508789062,318.90579758469437
50.2%,50250,656.7137451171875,274.6879477614474
50.3%,50300,609.56103515625,319.4987380119299
50.4%,50350,566.090576171875,324.74276267871875
50.4%,50400,599.90087890625,300.11232606285927
50.5%,50450,616.5565795898438,303.7301250492171
50.5%,50500,600.1481323242188,326.2558794294683
50.5%,50550,622.1829833984375,322.38566580121557
50.6%,50600,632.1150512695312,318.7037072515432
50.6%,50650,610.5103759765625,317.2705240672657
50.7%,50700,578.276123046875,350.41077771147786
50.8%,50750,629.6666259765625,329.2348624907251
50.8%,50800,605.938720703125,347.08882477053425
50.9%,50850,637.5695190429688,318.7622159606804
50.9%,50900,621.5283203125,305.49960739647327
51.0%,50950,570.185302734375,313.73810166795835
51.0%,51000,563.94482421875,339.9666819510354
51.0%,51050,621.070556640625,292.04407879729166
51.1%,51100,605.1448364257812,295.53763188545724
51.1%,51150,622.7800903320312,305.6686397433662
51.2%,51200,592.5579223632812,319.0081676214551
51.2%,51250,643.6557006835938,294.41684893116934
51.3%,51300,631.531982421875,304.8667403664352
51.4%,51350,662.8681030273438,288.2100618419507
51.4%,51400,598.048583984375,329.9600100282533
51.5%,51450,598.4674072265625,325.83301814196125
51.5%,51500,565.1577758789062,323.7926964665119
51.5%,51550,622.5179443359375,294.1956480653774
51.6%,51600,600.78076171875,312.9625206136365
51.6%,51650,612.5919189453125,298.45162110867966
51.7%,51700,616.384765625,291.23715241668515
51.8%,51750,587.076416015625,317.2346726021106
51.8%,51800,624.2789306640625,282.15371444812683
51.9%,51850,582.249755859375,286.4927931439065
51.9%,51900,579.7777099609375,295.1023504168508
52.0%,51950,563.1041259765625,293.74829251719336
52.0%,52000,585.5741577148438,271.80686311688964
52.0%,52050,598.7560424804688,257.4934868878252
52.1%,52100,574.4073486328125,271.27428348714915
52.1%,52150,589.2299194335938,273.2362394211191
52.2%,52200,555.3896484375,295.66561624448155
52.2%,52250,583.3402709960938,265.3013444992082
52.3%,52300,577.39697265625,260.17149810542475
52.4%,52350,547.69580078125,253.18523777509023
52.4%,52400,538.2105712890625,249.73127280071185
52.5%,52450,576.304443359375,253.11515667706496
52.5%,52500,573.60009765625,252.44368992196436
52.5%,52550,562.4056396484375,290.3281800174031
52.6%,52600,622.4447021484375,274.31899634631225
52.6%,52650,581.7902221679688,308.65621202168364
52.7%,52700,591.546875,297.29834806012764
52.8%,52750,567.704833984375,297.4941150955712
52.8%,52800,545.9957885742188,314.8969392291609
52.9%,52850,552.0537109375,302.8819472993011
52.9%,52900,606.02783203125,280.8213092609456
53.0%,52950,595.1478271484375,280.2715115993814
53.0%,53000,582.6390380859375,283.80263424460827
53.0%,53050,517.3467407226562,309.01246210069695
53.1%,53100,539.2174072265625,289.9852400176799
53.1%,53150,573.3245849609375,298.5496727542859
53.2%,53200,614.900146484375,290.4168191257709
53.2%,53250,580.1956176757812,323.0895760394373
53.3%,53300,583.126953125,323.6746628867818
53.4%,53350,607.7138671875,317.0120236125338
53.4%,53400,567.970703125,346.37619916399916
53.5%,53450,600.6065063476562,351.5921465434294
53.5%,53500,670.2505493164062,309.99967994618504
53.5%,53550,680.4879150390625,332.0778793922521
53.6%,53600,675.84423828125,323.3090178057983
53.6%,53650,644.6553955078125,353.02005587112717
53.7%,53700,667.6353149414062,328.1850638167855
53.8%,53750,616.268310546875,339.78609636403394
53.8%,53800,598.633544921875,345.906852643349
53.9%,53850,674.2708740234375,302.9390346176031
53.9%,53900,655.679931640625,313.38103313463745
54.0%,53950,617.9017333984375,323.0087519600402
54.0%,54000,626.5882568359375,309.50158561285775
54.0%,54050,610.94091796875,317.24192423691676
54.1%,54100,619.8455810546875,311.8492243974292
54.1%,54150,591.37060546875,346.126965706447
54.2%,54200,655.1609497070312,327.1965984009748
54.2%,54250,671.4012451171875,308.8778777947731
54.3%,54300,653.0800170898438,316.8663590026848
54.4%,54350,679.9835205078125,314.7860480335157
54.4%,54400,614.7802124023438,298.6022682322952
54.5%,54450,626.8780517578125,308.5483203063321
54.5%,54500,569.9844970703125,310.79025753254547
54.5%,54550,599.371826171875,310.0323015729624
54.6%,54600,606.2486572265625,337.6261570554047
54.6%,54650,643.16845703125,302.114664885978
54.7%,54700,622.6396484375,309.270518249071
54.8%,54750,618.2305908203125,312.3987809763926
54.8%,54800,566.0709228515625,354.6822832292876
54.9%,54850,627.95751953125,310.2048927391993
54.9%,54900,625.42431640625,307.2100907004892
55.0%,54950,611.9337768554688,300.0935353828441
55.0%,55000,598.1112060546875,301.80927311729636
55.0%,55050,648.2543334960938,266.2772506519067
55.1%,55100,595.1939086914062,310.82784614070886
55.1%,55150,581.39453125,308.65683748002954
55.2%,55200,625.7466430664062,266.04631079752255
55.2%,55250,597.681884765625,289.8286622183451
55.3%,55300,615.6754760742188,275.44148340996355
55.4%,55350,581.6739501953125,290.45887492884106
55.4%,55400,589.7298583984375,302.4551962892719
55.5%,55450,629.2158203125,275.20009330050675
55.5%,55500,530.8084106445312,334.07784220387026
55.5%,55550,607.668212890625,292.3629170246447
55.6%,55600,602.9759521484375,307.8697447681874
55.6%,55650,619.1016845703125,285.4530758890092
55.7%,55700,568.9746704101562,326.1774973541865
55.8%,55750,594.9453125,285.34847855582376
55.8%,55800,588.7283935546875,312.2923947844926
55.9%,55850,569.3763427734375,316.316988572261
55.9%,55900,595.2752685546875,300.5403467396491
56.0%,55950,579.6593627929688,261.83647193196157
56.0%,56000,534.1296997070312,308.7465488773795
56.0%,56050,561.4497680664062,297.64628704876856
56.1%,56100,623.822265625,252.41023832627562
56.1%,56150,601.8319702148438,261.6305884362759
56.2%,56200,576.2696533203125,302.62198804427305
56.2%,56250,550.23486328125,303.60479068659123
56.3%,56300,533.9977416992188,322.37276704464387
56.4%,56350,597.0160522460938,292.3268276425714
56.4%,56400,607.0965576171875,281.3111172713001
56.5%,56450,561.4664916992188,306.07919283012956
56.5%,56500,585.264404296875,272.174572896357
56.5%,56550,589.81396484375,262.2456024444259
56.6%,56600,551.9949340820312,265.13724862500175
56.6%,56650,579.3204345703125,275.44074293892726
56.7%,56700,583.0731201171875,266.3190554779508
56.8%,56750,570.7399291992188,290.87827494376734
56.8%,56800,568.9937744140625,302.7415906097904
56.9%,56850,566.7633056640625,305.1031566364159
56.9%,56900,585.9508056640625,281.81394133916916
57.0%,56950,582.295654296875,273.90168284294333
57.0%,57000,625.0005493164062,270.44293830652526
57.0%,57050,587.7841796875,294.54013389566626
57.1%,57100,587.8505859375,295.71361186694656
57.1%,57150,588.7282104492188,303.60013246994066
57.2%,57200,588.1258544921875,315.9854644401554
57.2%,57250,548.39697265625,338.67020444808594
57.3%,57300,564.4622802734375,310.7621149906534
57.4%,57350,548.9559326171875,281.6381274300041
57.4%,57400,604.697021484375,256.0264763150609
57.5%,57450,564.6404418945312,283.83231739982375
57.5%,57500,564.7784423828125,305.30206331428514
57.5%,57550,661.4735107421875,269.1400300700138
57.6%,57600,603.135498046875,304.7738150844678
57.6%,57650,604.1288452148438,304.62485423424766
57.7%,57700,574.4488525390625,322.19900575996377
57.8%,57750,591.21484375,289.81034995778504
57.8%,57800,582.2958984375,294.25108483555925
57.9%,57850,562.1082763671875,285.3126724048769
57.9%,57900,559.9874877929688,292.078155132247
58.0%,57950,596.9352416992188,300.19360873552387
58.0%,58000,588.4157104492188,301.1420986214668
58.0%,58050,599.0636596679688,274.4132340550918
58.1%,58100,610.0062255859375,275.4638455627188
58.1%,58150,596.3687133789062,288.28658927392587
58.2%,58200,577.2008056640625,313.07772449180624
58.2%,58250,602.860107421875,288.5837920777104
58.3%,58300,652.9676513671875,278.740648631862
58.4%,58350,587.2427978515625,300.9015303456905
58.4%,58400,589.844970703125,302.1529611088857
58.5%,58450,580.3770751953125,283.9965183869616
58.5%,58500,622.2318725585938,264.454657852486
58.5%,58550,606.78955078125,284.4195895509596
58.6%,58600,594.84716796875,294.223672026852
58.6%,58650,592.7726440429688,299.67350611381977
58.7%,58700,595.0687255859375,294.54242491178843
58.8%,58750,602.8776245117188,316.3183058802784
58.8%,58800,596.2907104492188,300.9005287911798
58.9%,58850,619.0328369140625,263.37082819959556
