#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
3.0%,2950,688.4876708984375,308.9533931990819
3.0%,3000,672.7205810546875,323.8398992414947
3.0%,3050,671.5901489257812,319.4880134259211
3.1%,3100,721.4613037109375,321.08462614954897
3.1%,3150,696.28466796875,340.8768311614991
3.2%,3200,720.5695190429688,349.0744085995871
3.2%,3250,731.4599609375,315.9531531289514
3.3%,3300,668.705078125,358.4730299638939
3.4%,3350,723.070068359375,319.7970697509469
3.4%,3400,704.7977294921875,307.0784482898384
3.5%,3450,739.5531005859375,307.85577780375047
3.5%,3500,689.2074584960938,348.8609453822277
3.5%,3550,704.122802734375,314.9849322662417
3.6%,3600,749.139892578125,307.05533111244097
3.6%,3650,712.7303466796875,330.52431822423154
3.7%,3700,679.6405029296875,348.8213262613525
3.8%,3750,683.6046142578125,348.9216894340108
3.8%,3800,731.8311767578125,308.97369952566567
3.9%,3850,747.4505615234375,288.1252259745628
3.9%,3900,700.11376953125,337.3288976173712
4.0%,3950,662.0682373046875,340.74639896904944
4.0%,4000,704.7501831054688,316.65784215243696
4.0%,4050,729.0237426757812,314.3922370894002
4.1%,4100,733.142822265625,315.8627543670915
4.2%,4150,718.6007690429688,310.6086518523211
4.2%,4200,668.1699829101562,354.21677469478436
4.2%,4250,681.9202880859375,332.3256876738849
4.3%,4300,719.674072265625,301.1752547602218
4.3%,4350,713.2049560546875,298.93559948513035
4.4%,4400,708.6663818359375,315.96322071113366
4.5%,4450,744.8621826171875,309.6204277751395
4.5%,4500,770.1338500976562,285.14733589257105
4.5%,4550,731.7095947265625,340.929814566312
4.6%,4600,734.3463745117188,320.7838677481093
4.7%,4650,754.1563720703125,303.8909590888488
4.7%,4700,662.3047485351562,343.00337145690816
4.8%,4750,702.1777954101562,318.7367253720694
4.8%,4800,733.1806640625,297.6337630908851
4.8%,4850,739.6201782226562,316.2043596222067
4.9%,4900,708.5453491210938,305.22276080944397
5.0%,4950,701.4149169921875,319.1233077025855
5.0%,5000,691.9252319335938,313.4861060923029
5.0%,5050,716.7607421875,276.54840149574636
5.1%,5100,699.1217651367188,289.0446644299943
5.2%,5150,714.7821044921875,281.33360071477176
5.2%,5200,662.973876953125,313.235841214278
5.2%,5250,665.194580078125,314.2760229844295
5.3%,5300,665.312255859375,323.2026596369903
5.3%,5350,682.5494384765625,282.51787513332334
5.4%,5400,721.0397338867188,272.720564065916
5.5%,5450,647.1119384765625,311.55587366667936
5.5%,5500,684.2830200195312,304.01014328487025
5.5%,5550,693.4995727539062,275.25810895257376
5.6%,5600,668.196044921875,299.9460321554569
5.7%,5650,690.17236328125,290.36532383848913
5.7%,5700,702.0843505859375,273.67836099645734
5.8%,5750,695.5614013671875,265.20238913521985
5.8%,5800,646.9118041992188,305.40612638051994
5.8%,5850,633.1064453125,309.60594313158225
5.9%,5900,649.775634765625,316.64437723472884
6.0%,5950,682.21875,277.6270124488097
6.0%,6000,655.6932373046875,304.1356947861217
6.0%,6050,661.2503662109375,289.18202441018383
6.1%,6100,637.4744262695312,336.6245128747931
6.2%,6150,636.5830078125,335.3398622698139
6.2%,6200,683.1806640625,289.8712242719411
6.2%,6250,639.7755126953125,300.77543908921615
6.3%,6300,598.383056640625,316.2763044085365
6.3%,6350,656.98583984375,304.119889767542
6.4%,6400,661.6900634765625,298.89865093759073
6.5%,6450,645.4405517578125,302.44660516533423
6.5%,6500,604.6322021484375,320.01784961028534
6.5%,6550,639.22607421875,319.08945680417133
6.6%,6600,644.4161376953125,342.2078775334164
6.7%,6650,646.3916015625,314.9847844205952
6.7%,6700,672.3970947265625,295.70132823024665
6.8%,6750,657.1029052734375,295.1209029972609
6.8%,6800,671.1761474609375,293.1118391907796
6.8%,6850,643.2613525390625,321.74167877753973
6.9%,6900,645.0569458007812,307.8046146544498
7.0%,6950,682.6590576171875,275.8529299126391
7.0%,7000,667.4476318359375,296.76511251534737
7.0%,7050,635.2708740234375,325.09239500353436
7.1%,7100,679.565185546875,278.4401537074942
7.2%,7150,676.2567749023438,288.4205889660106
7.2%,7200,629.0533447265625,323.5329630837398
7.2%,7250,654.7406005859375,311.04765735583453
7.3%,7300,638.30029296875,319.72066156012875
7.3%,7350,655.7415771484375,309.8011636213871
7.4%,7400,641.9827880859375,350.0143017519734
7.5%,7450,650.431640625,317.20285274446644
7.5%,7500,640.609619140625,349.40332647612047
7.5%,7550,677.3075561523438,309.3143661592141
7.6%,7600,659.1350708007812,329.9107113980155
7.7%,7650,648.068359375,314.29158600564074
7.7%,7700,686.3240966796875,317.5507492537536
7.8%,7750,679.339599609375,313.388304922334
7.8%,7800,631.8287963867188,324.85412109858373
7.8%,7850,653.712646484375,307.54376213619315
7.9%,7900,652.3859252929688,320.14159741918553
8.0%,7950,676.3743896484375,319.1207472807373
8.0%,8000,693.4912719726562,287.936990724837
8.1%,8050,576.1281127929688,376.89882050943976
8.1%,8100,697.3995971679688,315.90362113896487
8.2%,8150,674.2044677734375,313.272910677826
8.2%,8200,664.9403076171875,328.30624167011877
8.2%,8250,665.13916015625,323.48428516599085
8.3%,8300,654.921630859375,332.99378087875067
8.3%,8350,642.7041625976562,337.0944507406918
8.4%,8400,712.8392333984375,301.6750598016406
8.4%,8450,680.6144409179688,315.43402164773545
8.5%,8500,648.65185546875,316.67763230673336
8.6%,8550,625.7434692382812,325.7403481621637
8.6%,8600,668.4341430664062,284.0247298384571
